Date,Open,High,Low,Close,Adj Close,Volume
2008-02-12,236.875,247.75,211.9375,221.59375,217.0806427001953,36907520
2008-02-13,225.03125,229.21875,207.8125,219.625,215.1519775390625,24274064
2008-02-14,224.96875,234.25,222.625,231.28125,226.57083129882812,13304012
2008-02-15,228.15625,243.25,223.75,240.4375,235.5406036376953,18829776
2008-02-18,261.65625,268.5,256.3125,258.53125,253.26583862304688,18022864
2008-02-19,261.25,262.375,255.625,258.3125,253.05154418945312,10023579
2008-02-20,258.75,258.75,253.5,255.125,249.92897033691406,5572964
2008-02-21,257.5,265.625,256.875,263.71875,258.3476867675781,9211838
2008-02-22,259.375,270.625,254.4375,260.53125,255.22511291503906,20041136
2008-02-25,265.625,285.0,263.375,281.5,275.76678466796875,28358864
2008-02-26,285.0,286.25,276.875,279.96875,274.2667236328125,10682984
2008-02-27,281.59375,283.40625,278.21875,279.3125,273.62384033203125,4106596
2008-02-28,278.0625,279.9375,273.0,276.65625,271.0216979980469,4584244
2008-02-29,275.5625,279.875,265.78125,269.125,263.6438293457031,5173966
2008-03-03,261.875,264.96875,254.6875,257.5,252.25559997558594,2498912
2008-03-04,258.6875,258.6875,243.15625,245.21875,240.22447204589844,3960744
2008-03-05,243.75,245.625,233.78125,235.15625,230.36691284179688,4083872
2008-03-07,231.25,232.5,206.875,211.375,207.07000732421875,7780264
2008-03-10,209.15625,213.65625,193.84375,209.375,205.11074829101562,7330680
2008-03-11,206.1875,227.75,203.15625,223.8125,219.2541961669922,8852028
2008-03-12,230.3125,235.9375,212.5625,215.40625,211.01914978027344,6421056
2008-03-13,209.25,210.625,200.0,201.4375,197.33489990234375,4948668
2008-03-14,203.21875,214.25,198.75,210.90625,206.61080932617188,5142656
2008-03-17,205.0,208.8125,196.96875,198.09375,194.0592498779297,4993541
2008-03-18,198.09375,204.25,195.8125,198.5625,194.51844787597656,3527775
2008-03-19,206.25,208.40625,195.625,196.71875,192.71224975585938,2343190
2008-03-24,198.8125,199.15625,189.65625,191.5625,187.66102600097656,2295527
2008-03-25,195.625,201.5625,192.8125,199.71875,195.65115356445312,3187965
2008-03-26,200.9375,206.75,198.1875,201.5625,197.4573516845703,3549026
2008-03-27,199.4375,206.8125,198.25,205.15625,200.9779052734375,3084505
2008-03-28,208.125,210.625,204.375,208.6875,204.43724060058594,2626293
2008-03-31,206.25,208.75,196.96875,198.46875,194.42662048339844,4681125
2008-04-01,200.625,202.5,195.0625,199.875,195.80422973632812,2152195
2008-04-02,199.875,207.46875,199.875,203.84375,199.692138671875,1574333
2008-04-03,206.21875,207.71875,202.5,206.0,201.80447387695312,1853682
2008-04-04,205.0,206.875,200.09375,201.1875,197.08999633789062,1000783
2008-04-07,201.25,209.8125,198.875,207.84375,203.6106719970703,2227362
2008-04-08,209.375,226.5,204.4375,219.59375,215.12136840820312,9466317
2008-04-09,221.25,230.0,216.90625,226.40625,221.7951202392578,6063563
2008-04-10,223.4375,230.0,221.9375,224.0,219.43788146972656,4228903
2008-04-11,226.1875,228.46875,223.75,225.84375,221.24407958984375,2497506
2008-04-15,225.0625,243.0,222.03125,240.21875,235.32630920410156,5163503
2008-04-16,241.0,252.46875,233.25,234.875,230.09140014648438,6403611
2008-04-17,237.5,243.4375,236.40625,239.71875,234.83648681640625,3113345
2008-04-21,240.625,244.8125,231.25,233.59375,228.83624267578125,2832173
2008-04-22,231.875,239.8125,229.375,235.84375,231.0404052734375,2685000
2008-04-23,237.65625,242.4375,237.5625,240.03125,235.1426239013672,2403365
2008-04-24,244.6875,246.5,238.75,242.1875,237.2549591064453,3964320
2008-04-25,243.125,252.90625,241.15625,251.34375,246.2247314453125,8200990
2008-04-28,253.28125,259.1875,250.8125,252.03125,246.89822387695312,4706847
2008-04-29,253.125,254.34375,248.25,251.4375,246.3165740966797,2880763
2008-04-30,252.75,254.375,245.71875,246.4375,241.4184112548828,2158576
2008-05-02,249.375,252.71875,247.03125,247.96875,242.91847229003906,2596665
2008-05-05,249.375,253.65625,247.5,250.46875,245.3675537109375,2421995
2008-05-06,251.25,256.375,250.46875,252.5,247.35743713378906,3852360
2008-05-07,254.875,258.6875,250.15625,257.1875,251.949462890625,3995910
2008-05-08,256.25,266.8125,254.15625,262.375,257.03131103515625,9567658
2008-05-09,262.5,267.3125,253.21875,255.03125,249.83712768554688,4743802
2008-05-12,255.0,258.5625,246.875,256.28125,251.06167602539062,3650755
2008-05-13,258.75,262.5,253.125,254.15625,248.97994995117188,2909780
2008-05-14,254.375,257.1875,252.5,255.78125,250.5718536376953,1785112
2008-05-15,256.21875,261.03125,256.21875,259.96875,254.674072265625,1947111
2008-05-16,262.5,262.5,259.4375,260.78125,255.4700164794922,1473483
2008-05-20,260.78125,273.25,259.46875,271.75,266.2153625488281,5662573
2008-05-21,270.625,280.0,268.78125,276.8125,271.1747741699219,5933682
2008-05-22,276.25,279.8125,267.5,274.65625,269.06243896484375,6580016
2008-05-23,276.3125,279.0,272.8125,274.84375,269.2461242675781,5006757
2008-05-26,273.125,277.8125,261.9375,264.03125,258.6538391113281,5265472
2008-05-27,265.9375,268.09375,254.75,258.3125,253.05154418945312,5525935
2008-05-28,258.4375,260.90625,250.625,257.0,251.76577758789062,5148940
2008-05-29,259.375,266.6875,251.875,255.96875,250.7555389404297,6106123
2008-05-30,308.95001220703125,309.3999938964844,231.6999969482422,235.85000610351562,231.04653930664062,14439310
2008-06-02,238.8000030517578,239.39999389648438,225.60000610351562,228.60000610351562,223.94419860839844,3582193
2008-06-03,226.89999389648438,226.89999389648438,215.60000610351562,218.8000030517578,214.3437957763672,3679918
2008-06-04,220.14999389648438,220.4499969482422,201.14999389648438,202.8000030517578,198.66964721679688,3549650
2008-06-05,201.0,204.89999389648438,191.0,198.64999389648438,194.6041717529297,5031871
2008-06-06,201.0,202.0,191.1999969482422,193.60000610351562,189.6570281982422,2808491
2008-06-09,183.60000610351562,190.0,181.5500030517578,185.14999389648438,181.37911987304688,2180193
2008-06-10,183.0,191.64999389648438,179.25,182.3000030517578,178.58717346191406,2948804
2008-06-11,184.6999969482422,188.6999969482422,179.5500030517578,182.39999389648438,178.68511962890625,2160012
2008-06-12,181.5,188.89999389648438,175.14999389648438,186.14999389648438,182.35874938964844,2730477
2008-06-13,187.5,193.5,183.14999389648438,187.5,183.68125915527344,5286937
2008-06-16,190.0,192.8000030517578,184.0,184.6999969482422,180.9382781982422,2721420
2008-06-17,185.0,192.0,182.85000610351562,191.0,187.10997009277344,2607757
2008-06-18,191.5,195.0,185.8000030517578,186.60000610351562,182.79959106445312,3879387
2008-06-19,185.0,185.9499969482422,180.0500030517578,180.6999969482422,177.01974487304688,1949808
2008-06-20,183.0,183.5,173.75,175.0500030517578,171.48483276367188,2370373
2008-06-23,174.0,175.0,160.0,162.25,158.9455108642578,2434781
